resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
10,1,8,"(312.5, 387.5, 9.73254467824523)",0.09686176975570167,0.0,-0.7078584355602466,0.9691330157303798,764.0644000020984
10,1,9,"(312.5, 387.5, 9.73254467824523)",0.761165245133519,745.3761596679688,-0.21895636785184192,1.1784622658464927,249.04890000107116
10,1,10,"(287.5, 387.5, 11.306348749090457)",1.1616530715328286,0.0,-0.48741837138077737,0.8959679484429967,573.2571999978973
10,1,11,"(287.5, 412.5, 13.851283065501828)",0.14231258630750623,0.0,-0.7813537954328326,0.4144258334448383,618.2699000019056
10,1,12,"(287.5, 412.5, 13.851283065501828)",0.8087742937746039,759.912841796875,-0.24143887125811198,0.6297303791664517,251.30989999888698
10,1,13,"(287.5, 437.5, 16.365669713099226)",0.8600250757646353,0.0,-0.5031152323415635,0.39903495853834275,528.9553000002343
10,1,14,"(262.5, 437.5, 19.691492564685472)",0.0174989054600594,0.0,-0.8139149223490376,0.1419582898139916,751.0431999980938
10,1,15,"(262.5, 437.5, 19.691492564685472)",0.2952213115038457,785.6497192382812,-0.20796770218883956,0.17616370117930727,249.13220000235015
10,1,16,"(237.5, 437.5, 21.459341898515387)",0.07348328700689626,0.0,-0.6594019371615826,0.14019902795662803,495.9405000008701
10,2,0,"(437.5, 412.5, 3.7158125367455015)",0.6457971250418699,736.2371826171875,-0.23874200887304214,2.2700989845251938,249.12289999701898
10,2,1,"(437.5, 387.5, 3.41874755045311)",0.42174047159558004,0.0,-0.43386385477416145,1.8415153612955266,565.2292000013404
10,2,2,"(437.5, 362.5, 3.0693002026442198)",0.05372525751593874,0.0,-0.6473632765335646,1.6781647407472864,608.0221999982314
10,2,3,"(437.5, 362.5, 3.0693002026442198)",0.363991324579149,736.5577392578125,-0.20880973521699156,2.0101145707752877,250.6470000007539
10,2,4,"(437.5, 337.5, 2.697731893066704)",0.4077250925490077,0.0,-0.4280998817514188,2.0436844935663716,584.5995000017865
10,2,5,"(437.5, 312.5, 2.3288409680820936)",0.048179164528868515,0.0,-0.6456578962426277,1.952420501526966,784.893899999588
10,2,6,"(437.5, 312.5, 2.3288409680820936)",0.3139577125575566,735.917724609375,-0.20907076490403853,2.275014721098486,250.0813000006019
10,2,7,"(412.5, 312.5, 2.8190600723806885)",0.3861169560943385,0.0,-0.4186219066276191,2.1853595666740286,571.9051000014588
10,2,8,"(387.5, 312.5, 3.371997408476144)",0.052210981647168565,0.0,-0.622369190417739,1.9495055350080372,599.5241000018723
10,2,9,"(387.5, 312.5, 3.371997408476144)",0.3729508693799534,737.9493408203125,-0.2099534971126724,2.1167020445061886,249.04779999997118
10,2,10,"(362.5, 312.5, 3.972924796908688)",0.47558716066565354,0.0,-0.42199481988421667,1.9805121587583527,570.7376999998814
10,2,11,"(337.5, 312.5, 4.592532186196013)",0.06649660567442132,0.0,-0.631401347733885,1.7878483707086588,614.9655999979586
